player_id,full_name,first_name,last_name,is_active
203500,Steven Adams,Steven,Adams,True
1628389,Bam Adebayo,Bam,Adebayo,True
200746,LaMarcus Aldridge,LaMarcus,Aldridge,True
1629734,Kyle Alexander,Kyle,Alexander,True
1629638,Nickeil Alexander-Walker,Nickeil,Alexander-Walker,True
1628960,Grayson Allen,Grayson,Allen,True
1628386,Jarrett Allen,Jarrett,Allen,True
1628443,Kadeem Allen,Kadeem,Allen,True
202329,Al-Farouq Aminu,Al-Farouq,Aminu,True
1626147,Justin Anderson,Justin,Anderson,True
203937,Kyle Anderson,Kyle,Anderson,True
201583,Ryan Anderson,Ryan,Anderson,True
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,True
1628961,Kostas Antetokounmpo,Kostas,Antetokounmpo,True
203648,Thanasis Antetokounmpo,Thanasis,Antetokounmpo,True
2546,Carmelo Anthony,Carmelo,Anthony,True
1628384,OG Anunoby,OG,Anunoby,True
1627853,Ryan Arcidiacono,Ryan,Arcidiacono,True
2772,Trevor Ariza,Trevor,Ariza,True
201571,D.J. Augustin,D.J.,Augustin,True
1629028,Deandre Ayton,Deandre,Ayton,True
1628407,Dwayne Bacon,Dwayne,Bacon,True
1628963,Marvin Bagley III,Marvin,Bagley III,True
1628366,Lonzo Ball,Lonzo,Ball,True
1628964,Mo Bamba,Mo,Bamba,True
200826,J.J. Barea,J.J.,Barea,True
203084,Harrison Barnes,Harrison,Barnes,True
1629628,RJ Barrett,RJ,Barrett,True
203115,Will Barton,Will,Barton,True
1628966,Keita Bates-Diop,Keita,Bates-Diop,True
201587,Nicolas Batum,Nicolas,Batum,True
203382,Aron Baynes,Aron,Baynes,True
203145,Kent Bazemore,Kent,Bazemore,True
1629647,Darius Bazley,Darius,Bazley,True
203078,Bradley Beal,Bradley,Beal,True
1627736,Malik Beasley,Malik,Beasley,True
201158,Marco Belinelli,Marco,Belinelli,True
1628395,Jordan Bell,Jordan,Bell,True
1627761,DeAndre' Bembry,DeAndre',Bembry,True
1627733,Dragan Bender,Dragan,Bender,True
202722,Davis Bertans,Davis,Bertans,True
201976,Patrick Beverley,Patrick,Beverley,True
203920,Khem Birch,Khem,Birch,True
1629048,Goga Bitadze,Goga,Bitadze,True
202687,Bismack Biyombo,Bismack,Biyombo,True
202357,Nemanja Bjelica,Nemanja,Bjelica,True
202339,Eric Bledsoe,Eric,Bledsoe,True
203992,Bogdan Bogdanovic,Bogdan,Bogdanovic,True
202711,Bojan Bogdanovic,Bojan,Bogdanovic,True
1629626,Bol Bol,Bol,Bol,True
1628413,Jonah Bolden,Jonah,Bolden,True
1629648,Jordan Bone,Jordan,Bone,True
1629067,Isaac Bonga,Isaac,Bonga,True
1626164,Devin Booker,Devin,Booker,True
1628449,Chris Boucher,Chris,Boucher,True
1628968,Brian Bowen II,Brian,Bowen II,True
1629065,Ky Bowman,Ky,Bowman,True
202340,Avery Bradley,Avery,Bradley,True
1628396,Tony Bradley,Tony,Bradley,True
1629714,Jarrell Brantley,Jarrell,Brantley,True
1629649,Ignas Brazdeikis,Ignas,Brazdeikis,True
1628969,Mikal Bridges,Mikal,Bridges,True
1628970,Miles Bridges,Miles,Bridges,True
1629052,Oshae Brissett,Oshae,Brissett,True
1629151,Ryan Broekhoff,Ryan,Broekhoff,True
1627763,Malcolm Brogdon,Malcolm,Brogdon,True
1628415,Dillon Brooks,Dillon,Brooks,True
1628971,Bruce Brown,Bruce,Brown,True
1627759,Jaylen Brown,Jaylen,Brown,True
1629650,Moses Brown,Moses,Brown,True
1628425,Sterling Brown,Sterling,Brown,True
1629718,Charles Brown Jr.,Charles,Brown Jr.,True
1628972,Troy Brown Jr.,Troy,Brown Jr.,True
1628973,Jalen Brunson,Jalen,Brunson,True
1628418,Thomas Bryant,Thomas,Bryant,True
203493,Reggie Bullock,Reggie,Bullock,True
203504,Trey Burke,Trey,Burke,True
202692,Alec Burks,Alec,Burks,True
1629126,Deonte Burton,Deonte,Burton,True
202710,Jimmy Butler,Jimmy,Butler,True
203998,Bruno Caboclo,Bruno,Caboclo,True
1629719,Devontae Cacok,Devontae,Cacok,True
203484,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,True
1628427,Vlatko Cancar,Vlatko,Cancar,True
203991,Clint Capela,Clint,Capela,True
201960,DeMarre Carroll,DeMarre,Carroll,True
1628975,Jevon Carter,Jevon,Carter,True
1713,Vince Carter,Vince,Carter,True
1628976,Wendell Carter Jr.,Wendell,Carter Jr.,True
203487,Michael Carter-Williams,Michael,Carter-Williams,True
1627936,Alex Caruso,Alex,Caruso,True
1626161,Willie Cauley-Stein,Willie,Cauley-Stein,True
2199,Tyson Chandler,Tyson,Chandler,True
201163,Wilson Chandler,Wilson,Chandler,True
1629597,Zylan Cheatham,Zylan,Cheatham,True
1629185,Chris Chiozza,Chris,Chiozza,True
1627737,Marquese Chriss,Marquese,Chriss,True
1629109,Gary Clark,Gary,Clark,True
1629634,Brandon Clarke,Brandon,Clarke,True
203903,Jordan Clarkson,Jordan,Clarkson,True
1629651,Nicolas Claxton,Nicolas,Claxton,True
1629598,Chris Clemons,Chris,Clemons,True
1628499,Antonius Cleveland,Antonius,Cleveland,True
1629599,Amir Coffey,Amir,Coffey,True
1628381,John Collins,John,Collins,True
1628380,Zach Collins,Zach,Collins,True
201144,Mike Conley,Mike,Conley,True
1626192,Pat Connaughton,Pat,Connaughton,True
1626188,Quinn Cook,Quinn,Cook,True
1629076,Tyler Cook,Tyler,Cook,True
202326,DeMarcus Cousins,DeMarcus,Cousins,True
203496,Robert Covington,Robert,Covington,True
203459,Allen Crabbe,Allen,Crabbe,True
1628470,Torrey Craig,Torrey,Craig,True
203109,Jae Crowder,Jae,Crowder,True
1629633,Jarrett Culver,Jarrett,Culver,True
203552,Seth Curry,Seth,Curry,True
201939,Stephen Curry,Stephen,Curry,True
203584,Troy Daniels,Troy,Daniels,True
203076,Anthony Davis,Anthony,Davis,True
202334,Ed Davis,Ed,Davis,True
1629056,Terence Davis,Terence,Davis,True
201942,DeMar DeRozan,DeMar,DeRozan,True
203473,Dewayne Dedmon,Dewayne,Dedmon,True
203521,Matthew Dellavedova,Matthew,Dellavedova,True
1628978,Donte DiVincenzo,Donte,DiVincenzo,True
1627767,Cheick Diallo,Cheick,Diallo,True
1628977,Hamidou Diallo,Hamidou,Diallo,True
203476,Gorgui Dieng,Gorgui,Dieng,True
203915,Spencer Dinwiddie,Spencer,Dinwiddie,True
1629029,Luka Doncic,Luka,Doncic,True
1629652,Luguentz Dort,Luguentz,Dort,True
1628422,Damyean Dotson,Damyean,Dotson,True
1629635,Sekou Doumbouya,Sekou,Doumbouya,True
1628408,PJ Dozier,PJ,Dozier,True
201609,Goran Dragic,Goran,Dragic,True
203083,Andre Drummond,Andre,Drummond,True
201162,Jared Dudley,Jared,Dudley,True
1627739,Kris Dunn,Kris,Dunn,True
201142,Kevin Durant,Kevin,Durant,True
1629035,Carsen Edwards,Carsen,Edwards,True
1627740,Henry Ellenson,Henry,Ellenson,True
201961,Wayne Ellington,Wayne,Ellington,True
203954,Joel Embiid,Joel,Embiid,True
203516,James Ennis III,James,Ennis III,True
1629234,Drew Eubanks,Drew,Eubanks,True
1628980,Jacob Evans,Jacob,Evans,True
203957,Dante Exum,Dante,Exum,True
1629605,Tacko Fall,Tacko,Fall,True
202324,Derrick Favors,Derrick,Favors,True
1626245,Cristiano Felicio,Cristiano,Felicio,True
1628390,Terrance Ferguson,Terrance,Ferguson,True
1628981,Bruno Fernando,Bruno,Fernando,True
1627812,Yogi Ferrell,Yogi,Ferrell,True
1627827,Dorian Finney-Smith,Dorian,Finney-Smith,True
1627854,Bryn Forbes,Bryn,Forbes,True
203095,Evan Fournier,Evan,Fournier,True
1628368,De'Aaron Fox,De'Aaron,Fox,True
1626187,Michael Frazier,Michael,Frazier,True
204025,Tim Frazier,Tim,Frazier,True
1628982,Melvin Frazier Jr.,Melvin,Frazier Jr.,True
1628365,Markelle Fultz,Markelle,Fultz,True
1629117,Wenyen Gabriel,Wenyen,Gabriel,True
1629655,Daniel Gafford,Daniel,Gafford,True
201568,Danilo Gallinari,Danilo,Gallinari,True
204038,Langston Galloway,Langston,Galloway,True
1629636,Darius Garland,Darius,Garland,True
201188,Marc Gasol,Marc,Gasol,True
200752,Rudy Gay,Rudy,Gay,True
202331,Paul George,Paul,George,True
201959,Taj Gibson,Taj,Gibson,True
1628385,Harry Giles III,Harry,Giles III,True
1628983,Shai Gilgeous-Alexander,Shai,Gilgeous-Alexander,True
203497,Rudy Gobert,Rudy,Gobert,True
1629164,Brandon Goodwin,Brandon,Goodwin,True
203932,Aaron Gordon,Aaron,Gordon,True
201569,Eric Gordon,Eric,Gordon,True
1628984,Devonte' Graham,Devonte',Graham,True
1626203,Treveon Graham,Treveon,Graham,True
203924,Jerami Grant,Jerami,Grant,True
1627982,Josh Gray,Josh,Gray,True
201980,Danny Green,Danny,Green,True
203110,Draymond Green,Draymond,Green,True
101123,Gerald Green,Gerald,Green,True
